dp_id,standard,family,disclosure_requirement,description,datapoint_type,coverage_score,band,top_chunk_source,top_chunk_page,top_chunk_text
E1-1,E1,Environment,Transition plan,Transition plan for climate change mitigation aligned with the Paris Agreement 1.5C goal,narrative,0.09781190092703158,amber,Corporate context and sustainability framework_2025_ENG.pdf,22,ESRS (CSRD) Código y definición Dueño E3. Water resource sustainability Technological and Infrastructure Innovation S4. Service resilience and reliability O1: Deficiencies in the quality and quantity …
E1-2,E1,Environment,Policies,Policies related to climate change mitigation and adaptation,narrative,0.15189047023761318,green,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,16,"16Aqualia | Presentación Corporativa | 2025 Phase 3: Material Topics 2025 Material Topics 2025 (16) Material Topics 2024 (15) Water Efficiency, Commitment to Climate Change Mitigation and Adaptation, …"
E1-3,E1,Environment,Actions,Actions and resources in relation to climate change policies including financial effects,semi-narrative,0.07226598875767178,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,16,"16Aqualia | Presentación Corporativa | 2025 Phase 3: Material Topics 2025 Material Topics 2025 (16) Material Topics 2024 (15) Water Efficiency, Commitment to Climate Change Mitigation and Adaptation, …"
E1-4,E1,Environment,Targets,Measurable targets for GHG emission reductions absolute and intensity with base year,quantitative,0.06036013745182706,dark_red,Corporate context and sustainability framework_2025_ENG.pdf,12,1. Context Internal Management. Integrated Management System Architecture Aqualia’s corporate-level management model integrates all key strategic elements into a coherent ecosystem that links context …
E1-5,E1,Environment,Energy consumption,Energy consumption and mix total MWh by source renewable vs non-renewable,quantitative,0.0746135064105286,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,10,"10 Review of the Double Materiality Phase 1.1: Contextual Analysis – Key Findings S&P Global Multi & Water Utilities Sector Assessment dimensions: • Environmental (44%): climate strategy, water manage…"
E1-6,E1,Environment,Gross Scopes 1 2 3 GHG emissions,Gross Scope 1 Scope 2 and Scope 3 GHG emissions tCO2e with methodology,quantitative,0.10559772115585749,amber,Methodology Double Materiality Assessment Review.pdf,5,"2. Assessment of Impact Materiality The impacts on the different stakeholder groups may be positive or negative, and current or potential. They are assessed as follows: • Potential impacts: assessed i…"
E1-7,E1,Environment,GHG removals and mitigation,GHG removals and GHG mitigation projects financed through carbon credits,quantitative,0.04863219788778656,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,6,"6 Since 2020, several relevant regulations preceding the European Water Resilience Strategy have paved the way: ▪ 2021: Glasgow Declaration for Fair Water Footprints (International) – promotes corpora…"
E1-8,E1,Environment,Internal carbon pricing,Internal carbon pricing schemes used to support decision making,semi-narrative,0.1064452876926741,green,Corporate context and sustainability framework_2025_ENG.pdf,12,1. Context Internal Management. Integrated Management System Architecture Aqualia’s corporate-level management model integrates all key strategic elements into a coherent ecosystem that links context …
E1-9,E1,Environment,Anticipated financial effects,Anticipated financial effects from material physical and transition risks and opportunities,quantitative,0.14832917115515487,green,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,14,Identification of ESRS-Aligned IROs: Risks & Opportunities Based on the list of material topics resulting from the contextual analysis carried out according to the EFRAG-proposed list and in alignment…
E2-1,E2,Environment,Pollution policies,Policies related to pollution prevention and control including emerging pollutants,narrative,0.07757202868601613,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,6,"6 Since 2020, several relevant regulations preceding the European Water Resilience Strategy have paved the way: ▪ 2021: Glasgow Declaration for Fair Water Footprints (International) – promotes corpora…"
E2-2,E2,Environment,Pollution actions,Actions and resources related to pollution,semi-narrative,0.044818069932050265,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
E2-3,E2,Environment,Pollution targets,Targets related to pollution reduction,quantitative,0.049354898107030615,dark_red,Aqualia_SR_2023_ES.pdf,33,33 Informe de Sostenibilidad 2023 Total de Iniciativas por meta Metas LE1 LE2 LE3 LE4 LE5 LE6 LE7 Iniciativas Meta 12.4 - 2 - - - - - 2 Meta 12.5 - 2 - - - - - 4 Meta 12.8 5 - - - 2 - - 7 Meta 13.1 - …
E2-4,E2,Environment,Pollution emissions,Pollution of air water and soil by type of pollutant and medium,quantitative,0.037691312365319835,dark_red,Methodology Double Materiality Assessment Review.pdf,6,"For each impact, a consolidated rating is calculated: • For current impacts, the consolidated rating is equivalent to the severity, calculated as the average of (Scale + Scope + Remediability) / 3, mu…"
E2-5,E2,Environment,Substances of concern,Substances of concern and substances of very high concern produced used or sold,quantitative,0.04541386188620338,dark_red,Corporate narrative about DM process_Aqualia.pdf,3,"aware, connected and aligned organisation, with a more mature map of impacts, risks and opportunities and a reinforced strategic framework. A more dynamic and accurate materiality that strengthens lon…"
